,resource_url,research_field,fair_score,fair_score_max,fair_score_pct,findability_pct,accessibility_pct,interoperability_pct,reusability_pct,f1_metadata_identifier_persistence,f1_unique_identifier,a1.2_metadata_authorization,f2_structured_metadata,i3_metadata_contains_outward_links,f2_grounded_metadata,a1.2_data_authorization,i1_data_kr_language_strong,i1_data_kr_language_weak,a1.1_data_protocol,i1_metadata_kr_language_weak,f3_metadata_identifier_in_metadata,i2_metadata_uses_fair_vocabularies_strong,r1.1_metadata_includes_license_weak,f3_data_identifier_in_metadata,f1_data_identifier_persistence,i1_metadata_kr_language_strong,a2_metadata_persistence,r1.1_metadata_includes_license_strong,a1.1_metadata_protocol,i2_metadata_uses_fair_vocabularies_weak,f4_searchable
26,10.18653/v1/s19-2001,Artificial Intelligence,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
27,10.18653/v1/2020.sigmorphon-1.1,Artificial Intelligence,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
28,10.18653/v1/2021.americasnlp-1.23,Artificial Intelligence,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
29,10.18653/v1/2021.bionlp-1.8,Artificial Intelligence,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
30,10.18653/v1/2021.case-1.23,Artificial Intelligence,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
31,10.18653/v1/2021.semeval-1.6,Natural Language Processing,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
32,10.18653/v1/2021.unimplicit-1.4,Natural Language Processing,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
33,10.18653/v1/d19-5729,Natural Language Processing,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
34,10.3115/v1/w14-1701,Natural Language Processing,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
35,10.18653/v1/w18-0604,Natural Language Processing,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
36,10.18653/v1/w18-3219,Natural Language Processing,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
37,10.18653/v1/w19-4107,Natural Language Processing,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
38,10.1109/22.904743,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,10.1016/j.sna.2004.02.040,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10.1109/tmtt.2003.821234,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10.1109/jmems.2010.2049475,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10.1109/jmems.2012.2203101,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10.1109/ted.2013.2263252,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10.1109/jmems.2012.2237384,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,10.1016/S0967-0645(98)00125-8,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,10.1016/S0967-0645(00)00135-1,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10.1029/2004GL021005,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,10.1155/2010/819029,Oceanography,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
49,10.1007/s11707-017-0649-9,Oceanography,10,22,45.45,50.0,40.0,57.14,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
50,10.1029/2004GB002331,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,10.4319/lo.2012.57.4.1067,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,10.5194/bg-7-3167-2010,Oceanography,10,22,45.45,50.0,40.0,28.57,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1
53,10.1038/ngeo366,Oceanography,10,22,45.45,50.0,40.0,57.14,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
54,10.4319/lo.1977.22.1.0060,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,10.1038/ismej.2010.205,Oceanography,10,22,45.45,50.0,40.0,57.14,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
56,10.1002/grl.50250,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,10.1038/nature11338,Oceanography,10,22,45.45,50.0,40.0,57.14,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
58,10.1101/2020.11.29.402362,Genomics,8,22,36.36,50.0,40.0,28.57,0.0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
59,10.1196/annals.1355.018,Clinical Infectiology and Tropical Medicine,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,10.1016/j.jallcom.2012.08.040,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,10.1016/j.snb.2014.05.126,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10.1016/j.snb.2015.01.070,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,10.1016/j.snb.2015.12.023,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,10.1016/j.jallcom.2016.05.053,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,10.1063/1.4942092,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,https://doi.org/10.1088/2053-1583/aa57fe,Analytical Chemistry,11,22,50.0,50.0,40.0,71.43,0.0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0
67,10.1117/1.JRS.11.026015,Earth Sciences,12,22,54.55,62.5,40.0,71.43,0.0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0
68,10.1016/j.snb.2012.05.031,Analytical Chemistry,12,22,54.55,62.5,40.0,71.43,0.0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0
69,10.1007/s42452-021-04213-3,Earth Sciences,13,22,59.09,62.5,40.0,57.14,100.0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0
70,https://doi.org/10.1088/0960-1317/16/10/032,Engineering,11,22,50.0,50.0,40.0,71.43,0.0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0
71,https://doi.org/10.1088/0960-1317/20/3/035014,Engineering,11,22,50.0,50.0,40.0,71.43,0.0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0
72,https://doi.org/10.1088/0960-1317/22/2/025001,Engineering,11,22,50.0,50.0,40.0,71.43,0.0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0
73,10.1029/2008GL033819,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,10.1128/AEM.70.2.765-770.2004,Oceanography,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,https://doi.org/10.3389/fmicb.2012.00386,Oceanography,8,22,36.36,50.0,40.0,28.57,0.0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
76,10.1063/1.3243458,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,https://doi.org/10.1039/c3dt53305k,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,https://doi.org/10.1088/0256-307x/32/7/078101,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,https://doi.org/10.1007/s10854-016-4993-4,Engineering,10,22,45.45,50.0,40.0,57.14,0.0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
80,10.1016/j.apsusc.2016.08.138,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,10.1016/j.snb.2016.01.035,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,10.1021/acsami.7b11051,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,10.1021/acsami.5b08782,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,10.1016/j.carbon.2016.04.003,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,10.1016/j.snb.2016.09.032,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,10.1021/acsnano.6b06670,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,10.1039/c7tb00810d,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,10.1016/j.saa.2019.117161,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,https://doi.org/10.1039/c8na00255j,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10.1016/j.dyepig.2019.107952,Materials Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,10.1038/s41598-020-59958-5,Materials Chemistry,12,22,54.55,50.0,40.0,57.14,100.0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
92,10.1021/jacs.0c04003,Physical Chemistry,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,10.1063/1.4792238,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,10.1142/s1793604716500235,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,10.1063/1.4959895,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,10.1557/jmr.2020.106,Engineering,11,22,50.0,50.0,40.0,57.14,50.0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
97,10.1109/jsen.2021.3077274,Engineering,4,22,18.18,25.0,40.0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,10.3389/fmicb.2012.00386,Oceanography,10,22,45.45,62.5,40.0,42.86,0.0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
99,10.1039/c3dt53305k,Engineering,12,22,54.55,62.5,40.0,71.43,0.0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0
100,10.1007/s10854-016-4993-4,Engineering,11,22,50.0,62.5,40.0,57.14,0.0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0
101,10.1016/j.apsusc.2017.08.133,Materials Chemistry,12,22,54.55,62.5,40.0,71.43,0.0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0
