,uid,id,metric,title,description
10,a1.2_metadata_authorization,https://w3id.org/FAIR_Tests/tests/gen2_metadata_authorization,A1.2,Metadata authentication and authorization,"Tests metadata GUID for the ability to implement authentication and authorization in its resolution protocol.  Currently passes InChI Keys, DOIs, Handles, and URLs.  Recognition of other identifiers will be added upon request by the community."
11,i3_metadata_contains_outward_links,https://w3id.org/FAIR_Tests/tests/gen2_metadata_contains_outward_links,I3,Metadata contains qualified outward references),Maturity Indicator to test if the metadata links outward to third-party resources.  It only tests metadata that can be represented as Linked Data.  
12,f3_metadata_identifier_in_metadata,https://w3id.org/FAIR_Tests/tests/gen2_metadata_identifier_in_metadata,F3,Metadata Identifier Explicitly In Metadata,"Metric to test if the metadata contains the unique identifier to the metadata itself.  This is done using a variety of 'scraping' tools, including DOI metadata resolution, the use of the 'extruct' Python tool, and others.  The test is executed by searching for the predicates 'http[s]://purl.org/dc/terms/identifier','http[s]://schema.org/identifier "
13,r1.1_metadata_includes_license_strong,https://w3id.org/FAIR_Tests/tests/gen2_metadata_includes_license_strong,R1.1,Metadata Includes License (strong),"Maturity Indicator to test if the linked data metadata contains an explicit pointer to the license.  Tests: xhtml, dvia, dcterms, cc, data.gov.au, and Schema license predicates in linked data, and validates the value of those properties. "
14,r1.1_metadata_includes_license_weak,https://w3id.org/FAIR_Tests/tests/gen2_metadata_includes_license_weak,R1.1,Metadata Includes License (weak),"Maturity Indicator to test if the metadata contains an explicit pointer to the license.  This 'weak' test will use a case-insensitive regular expression, and scan both key/value style metadata, as well as linked data metadata.  Tests: xhtml, dvia, dcterms, cc, data.gov.au, and Schema license predicates in linked data, and validates the value of those properties . "
15,i1_metadata_kr_language_strong,https://w3id.org/FAIR_Tests/tests/gen2_metadata_kr_language_strong,I1,Metadata Knowledge Representation Language (strong),"Maturity Indicator to test if the metadata uses a formal language broadly applicable for knowledge representation.  This particular test takes a broad view of what defines a 'knowledge representation language'; in this evaluation, a knowledge representation language is interpreted as one in which terms are semantically-grounded in ontologies.  Any form of RDF will pass this test (including RDF that is automatically extracted by third-party parsers such as Apache Tika)"
16,i1_metadata_kr_language_weak,https://w3id.org/FAIR_Tests/tests/gen2_metadata_kr_language_weak,I1,Metadata Knowledge Representation Language (weak),"Maturity Indicator to test if the metadata uses a formal language broadly applicable for knowledge representation.  This particular test takes a broad view of what defines a 'knowledge representation language'; in this evaluation, anything that can be represented as structured data will be accepted"
17,a2_metadata_persistence,https://w3id.org/FAIR_Tests/tests/gen2_metadata_persistence,A2,Metadata Persistence,"Metric to test if the metadata contains a persistence policy, explicitly identified by a persistencePolicy key (in hashed data) or a http://www.w3.org/2000/10/swap/pim/doc#persistencePolicy predicate in Linked Data."
18,a1.1_metadata_protocol,https://w3id.org/FAIR_Tests/tests/gen2_metadata_protocol,A1.1,Uses open free protocol for metadata retrieval,"Metadata may be retrieved by an open and free protocol.  Tests metadata GUID for its resolution protocol.  Currently passes InChI Keys, DOIs, Handles, and URLs.  Recognition of other identifiers will be added upon request by the community."
19,i2_metadata_uses_fair_vocabularies_strong,https://w3id.org/FAIR_Tests/tests/gen2_metadata_uses_fair_vocabularies_strong,I2,Metadata uses FAIR vocabularies (strong),Maturity Indicator to test if the linked data metadata uses terms that resolve to linked (FAIR) data.  
20,i2_metadata_uses_fair_vocabularies_weak,https://w3id.org/FAIR_Tests/tests/gen2_metadata_uses_fair_vocabularies_weak,I2,Metadata uses FAIR vocabularies (weak),"Maturity Indicator to test if the linked data metadata uses terms that resolve.  One predicate from each hostname is tested as 'representative' of the remainder from that hostname, in alphabetical order.  This tests only if they resolve, not if they resolve to FAIR data, therefore is a somewhat weak test. "
21,f4_searchable,https://w3id.org/FAIR_Tests/tests/gen2_searchable,F4,Searchable in major search engine,"Tests whether a machine is able to discover the resource by search, using Microsoft Bing"
