,resource_url,research_field,fair_score,fair_score_max,fair_score_pct,findability_pct,accessibility_pct,interoperability_pct,reusability_pct,f1_unique_identifier,f1_metadata_identifier_persistence,a1.2_metadata_authorization,f2_structured_metadata,f3_data_identifier_in_metadata,f2_grounded_metadata,a1.2_data_authorization,i1_data_kr_language_strong,i1_data_kr_language_weak,f1_data_identifier_persistence,a1.1_data_protocol,i3_metadata_contains_outward_links,f3_metadata_identifier_in_metadata,r1.1_metadata_includes_license_strong,a2_metadata_persistence,i1_metadata_kr_language_weak,i1_metadata_kr_language_strong,r1.1_metadata_includes_license_weak,f4_searchable,a1.1_metadata_protocol,i2_metadata_uses_fair_vocabularies_weak,i2_metadata_uses_fair_vocabularies_strong
6,http://orkg.org/orkg/resource/R140838,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7,http://orkg.org/orkg/resource/R140846,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
8,http://orkg.org/orkg/resource/R140850,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
9,http://orkg.org/orkg/resource/R140855,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
10,http://orkg.org/orkg/resource/R140859,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
11,http://orkg.org/orkg/resource/R140863,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
12,http://orkg.org/orkg/resource/R140867,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
13,http://orkg.org/orkg/resource/R140882,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
14,http://orkg.org/orkg/resource/R140948,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
15,http://orkg.org/orkg/resource/R140992,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
16,http://orkg.org/orkg/resource/R140996,Artificial Intelligence,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
17,http://orkg.org/orkg/resource/R141003,Natural Language Processing,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
18,http://orkg.org/orkg/resource/R141010,Natural Language Processing,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
19,http://orkg.org/orkg/resource/R141018,Natural Language Processing,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
20,http://orkg.org/orkg/resource/R141060,Natural Language Processing,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
21,http://orkg.org/orkg/resource/R141070,Natural Language Processing,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
22,http://orkg.org/orkg/resource/R141092,Natural Language Processing,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
23,http://orkg.org/orkg/resource/R141119,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
24,http://orkg.org/orkg/resource/R141124,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
25,http://orkg.org/orkg/resource/R141130,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
26,http://orkg.org/orkg/resource/R141136,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
27,http://orkg.org/orkg/resource/R141139,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
28,http://orkg.org/orkg/resource/R141150,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
29,http://orkg.org/orkg/resource/R141153,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
30,http://orkg.org/orkg/resource/R141319,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
31,http://orkg.org/orkg/resource/R141322,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
32,http://orkg.org/orkg/resource/R141325,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
33,http://orkg.org/orkg/resource/R141337,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
34,http://orkg.org/orkg/resource/R141340,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
35,http://orkg.org/orkg/resource/R141354,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
36,http://orkg.org/orkg/resource/R141357,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
37,http://orkg.org/orkg/resource/R141360,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
38,http://orkg.org/orkg/resource/R141363,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
39,http://orkg.org/orkg/resource/R141370,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
40,http://orkg.org/orkg/resource/R141373,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
41,http://orkg.org/orkg/resource/R141376,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
42,http://orkg.org/orkg/resource/R141379,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
43,http://orkg.org/orkg/resource/R141381,Oceanography,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
44,http://orkg.org/orkg/resource/R141600,Genomics,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
45,http://orkg.org/orkg/resource/R141614,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
46,http://orkg.org/orkg/resource/R141618,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
47,http://orkg.org/orkg/resource/R141621,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
48,http://orkg.org/orkg/resource/R141624,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
49,http://orkg.org/orkg/resource/R141631,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
50,http://orkg.org/orkg/resource/R141634,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
51,http://orkg.org/orkg/resource/R141640,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
52,http://orkg.org/orkg/resource/R141647,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
53,http://orkg.org/orkg/resource/R141652,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
54,http://orkg.org/orkg/resource/R141656,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
55,http://orkg.org/orkg/resource/R141661,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
56,http://orkg.org/orkg/resource/R141687,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
57,http://orkg.org/orkg/resource/R141693,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
58,http://orkg.org/orkg/resource/R141701,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
59,http://orkg.org/orkg/resource/R141708,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
60,http://orkg.org/orkg/resource/R141715,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
61,http://orkg.org/orkg/resource/R141720,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
62,http://orkg.org/orkg/resource/R141724,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
63,http://orkg.org/orkg/resource/R141735,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
64,http://orkg.org/orkg/resource/R141748,Materials Chemistry,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
65,http://orkg.org/orkg/resource/R141869,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
66,http://orkg.org/orkg/resource/R141873,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
67,http://orkg.org/orkg/resource/R141877,Engineering,7,22,31.82,37.5,40.0,28.57,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
